product_id,product_name,supplier_name,rank,sept_avg_daily_sales,sept_stock,oct_avg_daily_sales,oct_actual_sales,current_order_per_cycle,current_total_order,current_oct_end_stock,current_stockout,moderate_order_per_cycle,moderate_total_order,moderate_oct_end_stock,moderate_stockout,cost,current_stock_value,moderate_stock_value
2106,究極そば 九割(乾麺) 200g,A.ゆうき八百屋,D,0.14,14,0.03,0.9,0.0,0.0,13.1,False,0.0,0.0,13.1,False,323,4222.0,4222.0
1802,ウスターソース 360ml,A.ゆうき八百屋,C,0.21,4,0.13,4.0,0.0,0.0,-0.0,True,0.0,0.0,-0.0,True,287,0.0,0.0
1800,濃厚ソース 360ml,A.ゆうき八百屋,D,0.14,5,0.13,4.0,0.0,0.0,1.0,False,0.0,0.0,1.0,False,287,278.0,278.0
11071,お好みソース 360ml,A.ゆうき八百屋,D,0.14,5,0.3,9.3,0.0,0.0,-4.3,True,0.0,0.0,-4.3,True,287,0.0,0.0
10678,有機トマトピューレ 320g,A.ゆうき八百屋,E,0.07,4,0.13,4.0,0.0,0.0,-0.0,True,0.0,0.0,-0.0,True,318,0.0,0.0
1535,オーガニックトマトジュース(無塩) 190g,A.ゆうき八百屋,E,0.29,9,0.4,12.4,0.0,0.0,-3.4,True,0.0,0.0,-3.4,True,98,0.0,0.0
1436,レモンサイダー 250ml,A.ゆうき八百屋,B,1.43,70,1.43,44.3,0.0,0.0,25.7,False,0.0,0.0,25.7,False,105,2695.0,2695.0
3737,チキンコンソメ10g×8,A.ゆうき八百屋,B,0.29,3,0.37,11.5,0.0,0.0,-8.5,True,0.3,1.3,-7.1,True,350,0.0,0.0
1435,オーガニックアップルサイダー＋レモン 250ml,A.ゆうき八百屋,A,1.71,36,0.87,27.0,0.0,0.0,9.0,False,0.0,0.0,9.0,False,105,948.0,948.0
1434,オーガニックぶどうサイダー＋レモン 250ml,A.ゆうき八百屋,B,1.36,22,1.1,34.1,0.0,0.0,-12.1,True,0.0,0.0,-12.1,True,105,0.0,0.0
1433,オーガニックジンジャーエール 250ml,A.ゆうき八百屋,A,2.0,23,1.3,40.3,0.0,0.0,-17.3,True,3.0,12.0,-5.3,True,105,0.0,0.0
8904,有機青じそドレッシング 200ml,A.ゆうき八百屋,D,0.14,2,0.0,0.0,0.0,0.0,2.0,False,0.0,0.0,2.0,False,336,672.0,672.0
9352218005648,しそ漬小梅干 200g,A.ゆうき八百屋,A,0.36,4,0.0,0.0,0.0,0.0,4.0,False,0.7,2.7,6.7,False,560,2240.0,3763.0
